Attribute|Class|Title|Formula|Explanation|Reference
Fusion|fusion|Fusion||The object is massive enough to produce themonuclear fusion.|
Around a star|orbit|Around a star||The object orbits around another star|
Around the sun|orbit|Around the Sun||The object orbits around the sun.|
Clean|orbit|Clean orbit||The object has cleaned its orbit from solid objects thought to exist in protoplanetary disks and debris disks, called planetisimals.|
Has satellites|satellites|Has satellites||The object has satellites.|
Spherical|spherical|Spherical||The object is massive enough to be rounded by its own gravity.|
